job_title,company,location,industry,experience_level,salary_usd,remote,required_skills,description,posted_date
LLM Engineer,NeuralStack,"London, UK",Technology,Mid,131992,No,"azure, pandas, kubernetes, docker, deep learning, aws, gcp","We are looking for a LLM Engineer with experience in azure, pandas, kubernetes, docker, deep learning, aws, gcp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-07 17:45:48.096085
NLP Engineer,NextGen Analytics,"Berlin, Germany",Cloud Services,Senior,117163,No,"mlops, computer vision, tensorflow, langchain, python","We are looking for a NLP Engineer with experience in mlops, computer vision, tensorflow, langchain, python. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-03 17:45:48.096095
NLP Engineer,BlueCore Systems,"New York, USA",Cybersecurity,Mid,91227,Yes,"airflow, nlp, aws, langchain, transformers, pandas","We are looking for a NLP Engineer with experience in airflow, nlp, aws, langchain, transformers, pandas. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-27 17:45:48.096106
Deep Learning Engineer,NeuralStack,Remote,Retail,Mid,159485,No,"spark, aws, azure, docker, sql, langchain, deep learning","We are looking for a Deep Learning Engineer with experience in spark, aws, azure, docker, sql, langchain, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-23 17:45:48.096117
Applied AI Scientist,NeuralStack,"Berlin, Germany",Cloud Services,Senior,150478,Yes,"docker, gcp, nlp, kubernetes, pytorch, aws, vector databases","We are looking for a Applied AI Scientist with experience in docker, gcp, nlp, kubernetes, pytorch, aws, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-28 17:45:48.096128
AI Research Engineer,AIWorks,Remote,Retail,Entry,122931,No,"aws, vector databases, nlp, python, mlops","We are looking for a AI Research Engineer with experience in aws, vector databases, nlp, python, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-08 17:45:48.096138
Data Scientist,BlueCore Systems,"Bangalore, India",Healthcare,Senior,101266,Yes,"gcp, kubernetes, nlp, tensorflow, langchain","We are looking for a Data Scientist with experience in gcp, kubernetes, nlp, tensorflow, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-13 17:45:48.096149
AI Engineer,NeuralStack,Remote,Technology,Mid,122202,Yes,"nlp, deep learning, scikit-learn, mlops","We are looking for a AI Engineer with experience in nlp, deep learning, scikit-learn, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-14 17:45:48.096159
Applied AI Scientist,BlueCore Systems,"Toronto, Canada",Technology,Mid,204866,Yes,"airflow, aws, mlops, azure, tensorflow, docker","We are looking for a Applied AI Scientist with experience in airflow, aws, mlops, azure, tensorflow, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-11 17:45:48.096169
Cloud AI Engineer,SkyNetics,"Bangalore, India",Healthcare,Mid,209743,Yes,"pytorch, spark, sql, transformers","We are looking for a Cloud AI Engineer with experience in pytorch, spark, sql, transformers. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-18 17:45:48.096178
Machine Learning Engineer,TechNova,"Toronto, Canada",Finance,Entry,181730,Yes,"pytorch, pandas, mlops, kubernetes, python, deep learning","We are looking for a Machine Learning Engineer with experience in pytorch, pandas, mlops, kubernetes, python, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-29 17:45:48.096189
LLM Engineer,DataForge,"Berlin, Germany",Technology,Senior,218314,No,"pytorch, vector databases, gcp, aws, mlops","We are looking for a LLM Engineer with experience in pytorch, vector databases, gcp, aws, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-11 17:45:48.096200
Deep Learning Engineer,CloudSphere,"Boston, USA",Technology,Mid,159129,Yes,"pytorch, pandas, azure, kubernetes","We are looking for a Deep Learning Engineer with experience in pytorch, pandas, azure, kubernetes. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-28 17:45:48.096208
Applied AI Scientist,NextGen Analytics,"London, UK",Finance,Mid,127249,Yes,"sql, pytorch, spark, airflow, tensorflow, vector databases","We are looking for a Applied AI Scientist with experience in sql, pytorch, spark, airflow, tensorflow, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-15 17:45:48.096218
Data Scientist,QuantumLeap Tech,"Toronto, Canada",Retail,Mid,205737,No,"tensorflow, machine learning, pandas, vector databases","We are looking for a Data Scientist with experience in tensorflow, machine learning, pandas, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-04 17:45:48.096227
Data Scientist,NextGen Analytics,"Austin, USA",Finance,Mid,160868,No,"deep learning, docker, kubernetes, transformers, spark","We are looking for a Data Scientist with experience in deep learning, docker, kubernetes, transformers, spark. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-12 17:45:48.096236
AI Platform Engineer,CloudSphere,"Bangalore, India",Finance,Entry,171438,No,"docker, tensorflow, aws, airflow, machine learning, kubernetes","We are looking for a AI Platform Engineer with experience in docker, tensorflow, aws, airflow, machine learning, kubernetes. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-27 17:45:48.096247
Cloud AI Engineer,VisionAI Labs,"New York, USA",Finance,Entry,214644,Yes,"machine learning, aws, transformers, kubernetes, airflow, sql","We are looking for a Cloud AI Engineer with experience in machine learning, aws, transformers, kubernetes, airflow, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-05 17:45:48.096259
AI Research Engineer,DataForge,"San Francisco, USA",Retail,Mid,158497,Yes,"mlops, computer vision, python, kubernetes, spark, scikit-learn, vector databases","We are looking for a AI Research Engineer with experience in mlops, computer vision, python, kubernetes, spark, scikit-learn, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-05 17:45:48.096282
MLOps Engineer,AIWorks,"Austin, USA",Healthcare,Mid,143105,Yes,"sql, docker, airflow, transformers, mlops","We are looking for a MLOps Engineer with experience in sql, docker, airflow, transformers, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-28 17:45:48.096292
Computer Vision Engineer,AIWorks,Remote,Retail,Senior,193329,No,"gcp, airflow, langchain, mlops, docker","We are looking for a Computer Vision Engineer with experience in gcp, airflow, langchain, mlops, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-03 17:45:48.096301
AI Platform Engineer,BlueCore Systems,Remote,Technology,Senior,147842,No,"transformers, deep learning, sql, pytorch, docker, aws","We are looking for a AI Platform Engineer with experience in transformers, deep learning, sql, pytorch, docker, aws. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-06 17:45:48.096313
NLP Engineer,VisionAI Labs,Remote,Finance,Entry,148277,Yes,"computer vision, docker, transformers, vector databases, kubernetes, spark, tensorflow","We are looking for a NLP Engineer with experience in computer vision, docker, transformers, vector databases, kubernetes, spark, tensorflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-02 17:45:48.096333
Deep Learning Engineer,DataForge,"Toronto, Canada",Technology,Senior,91801,No,"azure, machine learning, mlops, tensorflow, airflow","We are looking for a Deep Learning Engineer with experience in azure, machine learning, mlops, tensorflow, airflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-12 17:45:48.096348
Cloud AI Engineer,BlueCore Systems,"Toronto, Canada",Cloud Services,Entry,176514,No,"docker, computer vision, kubernetes, sql, langchain, transformers, tensorflow","We are looking for a Cloud AI Engineer with experience in docker, computer vision, kubernetes, sql, langchain, transformers, tensorflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-19 17:45:48.096366
AI Research Engineer,VisionAI Labs,"Boston, USA",Healthcare,Senior,123958,No,"spark, python, vector databases, transformers","We are looking for a AI Research Engineer with experience in spark, python, vector databases, transformers. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-10 17:45:48.096383
AI Research Engineer,NeuralStack,"Austin, USA",Healthcare,Entry,116049,Yes,"pandas, sql, vector databases, airflow, pytorch","We are looking for a AI Research Engineer with experience in pandas, sql, vector databases, airflow, pytorch. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-05 17:45:48.096394
AI Platform Engineer,DataForge,Remote,Healthcare,Mid,112482,Yes,"computer vision, airflow, azure, sql, nlp, vector databases","We are looking for a AI Platform Engineer with experience in computer vision, airflow, azure, sql, nlp, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-27 17:45:48.096405
Data Scientist,BlueCore Systems,"London, UK",Cloud Services,Mid,107626,Yes,"computer vision, kubernetes, tensorflow, vector databases, sql","We are looking for a Data Scientist with experience in computer vision, kubernetes, tensorflow, vector databases, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-14 17:45:48.096415
Data Scientist,NextGen Analytics,"Toronto, Canada",Finance,Entry,212892,No,"deep learning, transformers, scikit-learn, vector databases, pandas, azure, nlp","We are looking for a Data Scientist with experience in deep learning, transformers, scikit-learn, vector databases, pandas, azure, nlp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-26 17:45:48.096426
LLM Engineer,CloudSphere,"Boston, USA",Finance,Entry,101670,Yes,"tensorflow, pytorch, vector databases, docker","We are looking for a LLM Engineer with experience in tensorflow, pytorch, vector databases, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-23 17:45:48.096436
Applied AI Scientist,DataForge,"San Francisco, USA",Healthcare,Entry,206959,Yes,"aws, nlp, pytorch, docker, mlops, python, tensorflow","We are looking for a Applied AI Scientist with experience in aws, nlp, pytorch, docker, mlops, python, tensorflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-21 17:45:48.096446
Applied AI Scientist,DataForge,"Boston, USA",Finance,Entry,91976,Yes,"tensorflow, pandas, aws, pytorch, deep learning","We are looking for a Applied AI Scientist with experience in tensorflow, pandas, aws, pytorch, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-17 17:45:48.096456
Data Scientist,NeuralStack,"London, UK",Finance,Senior,129986,No,"gcp, nlp, langchain, deep learning","We are looking for a Data Scientist with experience in gcp, nlp, langchain, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-06 17:45:48.096465
AI Research Engineer,QuantumLeap Tech,"Bangalore, India",Finance,Mid,113795,No,"scikit-learn, pytorch, spark, airflow, pandas, sql, python","We are looking for a AI Research Engineer with experience in scikit-learn, pytorch, spark, airflow, pandas, sql, python. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-05 17:45:48.096476
Computer Vision Engineer,QuantumLeap Tech,"Berlin, Germany",Healthcare,Senior,200328,No,"gcp, docker, mlops, kubernetes, spark, tensorflow","We are looking for a Computer Vision Engineer with experience in gcp, docker, mlops, kubernetes, spark, tensorflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-12 17:45:48.096486
Machine Learning Engineer,SkyNetics,"Seattle, USA",Healthcare,Entry,94661,Yes,"pytorch, aws, machine learning, gcp","We are looking for a Machine Learning Engineer with experience in pytorch, aws, machine learning, gcp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-26 17:45:48.096501
AI Research Engineer,BlueCore Systems,"Bangalore, India",Retail,Senior,93665,Yes,"machine learning, tensorflow, aws, nlp","We are looking for a AI Research Engineer with experience in machine learning, tensorflow, aws, nlp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-16 17:45:48.096516
Deep Learning Engineer,DataForge,"Berlin, Germany",Cloud Services,Senior,97606,Yes,"pandas, kubernetes, computer vision, azure, sql","We are looking for a Deep Learning Engineer with experience in pandas, kubernetes, computer vision, azure, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-02 17:45:48.096533
Data Scientist,CloudSphere,"Boston, USA",Cloud Services,Entry,111765,Yes,"python, pandas, computer vision, langchain","We are looking for a Data Scientist with experience in python, pandas, computer vision, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-14 17:45:48.096549
LLM Engineer,AIWorks,"Boston, USA",Retail,Entry,154211,Yes,"deep learning, gcp, machine learning, airflow","We are looking for a LLM Engineer with experience in deep learning, gcp, machine learning, airflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-29 17:45:48.096564
Cloud AI Engineer,DataForge,"Seattle, USA",Cloud Services,Mid,131671,Yes,"python, aws, scikit-learn, computer vision, mlops, docker","We are looking for a Cloud AI Engineer with experience in python, aws, scikit-learn, computer vision, mlops, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-31 17:45:48.096581
Applied AI Scientist,DataForge,"Berlin, Germany",Technology,Entry,127198,No,"machine learning, computer vision, gcp, scikit-learn","We are looking for a Applied AI Scientist with experience in machine learning, computer vision, gcp, scikit-learn. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-23 17:45:48.096596
LLM Engineer,SkyNetics,"Austin, USA",Retail,Mid,168601,Yes,"deep learning, mlops, docker, pandas","We are looking for a LLM Engineer with experience in deep learning, mlops, docker, pandas. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-29 17:45:48.096611
Data Scientist,NeuralStack,"Boston, USA",Retail,Entry,110179,No,"sql, airflow, computer vision, kubernetes, azure","We are looking for a Data Scientist with experience in sql, airflow, computer vision, kubernetes, azure. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-22 17:45:48.096628
Data Scientist,NextGen Analytics,"Austin, USA",Cloud Services,Mid,176226,Yes,"docker, scikit-learn, pandas, deep learning, python, sql","We are looking for a Data Scientist with experience in docker, scikit-learn, pandas, deep learning, python, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-27 17:45:48.096645
LLM Engineer,NextGen Analytics,"San Francisco, USA",Cybersecurity,Mid,112956,Yes,"airflow, gcp, docker, python, sql","We are looking for a LLM Engineer with experience in airflow, gcp, docker, python, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-30 17:45:48.096660
Data Scientist,DataForge,"Seattle, USA",Healthcare,Senior,137171,No,"docker, gcp, azure, python","We are looking for a Data Scientist with experience in docker, gcp, azure, python. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-26 17:45:48.096676
Computer Vision Engineer,CloudSphere,"Boston, USA",Cloud Services,Senior,174111,No,"airflow, nlp, tensorflow, pandas, sql, langchain, docker","We are looking for a Computer Vision Engineer with experience in airflow, nlp, tensorflow, pandas, sql, langchain, docker. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-04 17:45:48.096694
Computer Vision Engineer,VisionAI Labs,"San Francisco, USA",Retail,Mid,187616,Yes,"pytorch, pandas, aws, transformers, kubernetes, airflow","We are looking for a Computer Vision Engineer with experience in pytorch, pandas, aws, transformers, kubernetes, airflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-13 17:45:48.096712
Data Scientist,VisionAI Labs,"Bangalore, India",Finance,Entry,124009,Yes,"deep learning, python, aws, kubernetes, scikit-learn","We are looking for a Data Scientist with experience in deep learning, python, aws, kubernetes, scikit-learn. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-26 17:45:48.096730
Data Scientist,QuantumLeap Tech,Remote,Cloud Services,Senior,113942,Yes,"airflow, deep learning, langchain, tensorflow, python","We are looking for a Data Scientist with experience in airflow, deep learning, langchain, tensorflow, python. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-08 17:45:48.096746
Data Scientist,SkyNetics,"Toronto, Canada",Retail,Senior,197016,No,"pandas, vector databases, python, computer vision, deep learning, machine learning, langchain","We are looking for a Data Scientist with experience in pandas, vector databases, python, computer vision, deep learning, machine learning, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-04 17:45:48.096764
LLM Engineer,CloudSphere,"Seattle, USA",Cloud Services,Mid,107432,Yes,"langchain, kubernetes, deep learning, computer vision, tensorflow, spark","We are looking for a LLM Engineer with experience in langchain, kubernetes, deep learning, computer vision, tensorflow, spark. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-22 17:45:48.096832
LLM Engineer,NeuralStack,"London, UK",Cybersecurity,Senior,104631,No,"pytorch, scikit-learn, sql, docker, pandas, spark, aws","We are looking for a LLM Engineer with experience in pytorch, scikit-learn, sql, docker, pandas, spark, aws. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-22 17:45:48.096857
LLM Engineer,TechNova,"London, UK",Technology,Entry,128328,Yes,"transformers, vector databases, nlp, tensorflow, computer vision","We are looking for a LLM Engineer with experience in transformers, vector databases, nlp, tensorflow, computer vision. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-05 17:45:48.096873
Data Scientist,BlueCore Systems,"Seattle, USA",Healthcare,Senior,125683,Yes,"spark, sql, langchain, kubernetes, deep learning, mlops, machine learning","We are looking for a Data Scientist with experience in spark, sql, langchain, kubernetes, deep learning, mlops, machine learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-04 17:45:48.096890
Deep Learning Engineer,NextGen Analytics,"Bangalore, India",Cloud Services,Entry,184492,Yes,"pytorch, mlops, langchain, kubernetes, vector databases","We are looking for a Deep Learning Engineer with experience in pytorch, mlops, langchain, kubernetes, vector databases. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-19 17:45:48.096906
AI Engineer,TechNova,"Seattle, USA",Technology,Senior,160524,No,"langchain, scikit-learn, spark, transformers, machine learning, python, sql","We are looking for a AI Engineer with experience in langchain, scikit-learn, spark, transformers, machine learning, python, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-26 17:45:48.096924
MLOps Engineer,BlueCore Systems,"Austin, USA",Healthcare,Senior,122573,No,"sql, mlops, pytorch, deep learning","We are looking for a MLOps Engineer with experience in sql, mlops, pytorch, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-12 17:45:48.096940
AI Platform Engineer,SkyNetics,"Austin, USA",Cloud Services,Mid,183271,Yes,"transformers, azure, python, langchain","We are looking for a AI Platform Engineer with experience in transformers, azure, python, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-07 17:45:48.096954
MLOps Engineer,NeuralStack,"Seattle, USA",Retail,Mid,128119,Yes,"computer vision, docker, spark, pytorch","We are looking for a MLOps Engineer with experience in computer vision, docker, spark, pytorch. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-28 17:45:48.096984
Computer Vision Engineer,SkyNetics,"Seattle, USA",Cybersecurity,Mid,129291,Yes,"spark, python, computer vision, airflow","We are looking for a Computer Vision Engineer with experience in spark, python, computer vision, airflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-02 17:45:48.097000
Data Scientist,AIWorks,"Bangalore, India",Healthcare,Mid,136717,No,"kubernetes, python, pandas, airflow","We are looking for a Data Scientist with experience in kubernetes, python, pandas, airflow. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-18 17:45:48.097014
LLM Engineer,VisionAI Labs,"Seattle, USA",Retail,Senior,92118,No,"vector databases, spark, python, computer vision, machine learning","We are looking for a LLM Engineer with experience in vector databases, spark, python, computer vision, machine learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-18 17:45:48.097031
LLM Engineer,SkyNetics,"Boston, USA",Retail,Mid,172393,Yes,"mlops, tensorflow, gcp, azure, langchain","We are looking for a LLM Engineer with experience in mlops, tensorflow, gcp, azure, langchain. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-04 17:45:48.097047
MLOps Engineer,NextGen Analytics,"New York, USA",Cybersecurity,Mid,115079,Yes,"pandas, nlp, transformers, python, deep learning","We are looking for a MLOps Engineer with experience in pandas, nlp, transformers, python, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-18 17:45:48.097064
MLOps Engineer,DataForge,"Toronto, Canada",Retail,Senior,202172,No,"transformers, azure, computer vision, docker, mlops, deep learning","We are looking for a MLOps Engineer with experience in transformers, azure, computer vision, docker, mlops, deep learning. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-01-27 17:45:48.097081
MLOps Engineer,NeuralStack,"Bangalore, India",Cybersecurity,Mid,179230,Yes,"computer vision, python, azure, scikit-learn, gcp, nlp","We are looking for a MLOps Engineer with experience in computer vision, python, azure, scikit-learn, gcp, nlp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-19 17:45:48.097100
Machine Learning Engineer,DataForge,"Seattle, USA",Cloud Services,Mid,150862,Yes,"sql, azure, pandas, aws, transformers","We are looking for a Machine Learning Engineer with experience in sql, azure, pandas, aws, transformers. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-14 17:45:48.097116
MLOps Engineer,NextGen Analytics,"London, UK",Finance,Senior,155375,No,"deep learning, mlops, computer vision, vector databases, docker, kubernetes","We are looking for a MLOps Engineer with experience in deep learning, mlops, computer vision, vector databases, docker, kubernetes. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-02 17:45:48.097132
Data Scientist,CloudSphere,"Seattle, USA",Finance,Entry,146931,Yes,"python, mlops, tensorflow, aws, computer vision, nlp, gcp","We are looking for a Data Scientist with experience in python, mlops, tensorflow, aws, computer vision, nlp, gcp. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-18 17:45:48.097152
NLP Engineer,CloudSphere,"New York, USA",Cybersecurity,Senior,188551,No,"tensorflow, vector databases, docker, langchain, nlp, kubernetes","We are looking for a NLP Engineer with experience in tensorflow, vector databases, docker, langchain, nlp, kubernetes. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-11 17:45:48.097184
LLM Engineer,TechNova,"Austin, USA",Technology,Mid,97171,Yes,"python, tensorflow, docker, machine learning, computer vision, azure, scikit-learn","We are looking for a LLM Engineer with experience in python, tensorflow, docker, machine learning, computer vision, azure, scikit-learn. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-24 17:45:48.097201
Data Scientist,QuantumLeap Tech,"New York, USA",Healthcare,Entry,116457,No,"scikit-learn, python, aws, docker, pandas, mlops","We are looking for a Data Scientist with experience in scikit-learn, python, aws, docker, pandas, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-03-02 17:45:48.097218
Deep Learning Engineer,CloudSphere,"San Francisco, USA",Technology,Senior,150212,No,"spark, airflow, deep learning, nlp, tensorflow, mlops","We are looking for a Deep Learning Engineer with experience in spark, airflow, deep learning, nlp, tensorflow, mlops. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-14 17:45:48.097235
Cloud AI Engineer,AIWorks,"Berlin, Germany",Healthcare,Mid,160057,No,"airflow, nlp, deep learning, pandas","We are looking for a Cloud AI Engineer with experience in airflow, nlp, deep learning, pandas. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2026-02-27 17:45:48.097250
NLP Engineer,SkyNetics,"Boston, USA",Cybersecurity,Senior,215469,No,"nlp, tensorflow, computer vision, pytorch, azure, transformers, sql","We are looking for a NLP Engineer with experience in nlp, tensorflow, computer vision, pytorch, azure, transformers, sql. The candidate will build AI solutions, develop models, and work with cloud infrastructure.",2025-12-23 17:45:48.097268
